Date current as of 9/27/21,,,,,,,,
,,,,,,,,
CAMPUS,Payer/Plan Name,DRG/CPT/HCPCS Code,DRG/CPT/HCPCS Description,Gross Charge,Discounted Cash Price,Negotiated Rate,Min Negotiated Rate,Max Negotiated Rate
NYEE,EMPIRE HEALTHCHOICE ASSURANCE,37609,Biopsy of temporal artery,Not Applicable,100% of Medicare,1677.5,1608.63,1677.5
NYEE,FIDELIS CARE NEW YORK - MEDICARE ADVANTAGE DUAL ELIGIBLE NETWORK - MEDICARE/MEDICAID,37609,Biopsy of temporal artery,Not Applicable,100% of Medicare,1608.63,1608.63,1677.5
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,37609,Biopsy of temporal artery,Not Applicable,100% of Medicare,1633.1,1608.63,1677.5
NYEE,UNITEDHEALTHCARE SERVICES INC AND ITS AFFILIATES VERIZON,37609,Biopsy of temporal artery,Not Applicable,100% of Medicare,1608.63,1608.63,1677.5
NYEE,"WELLCARE OF NEW YORK, INC",37609,Biopsy of temporal artery,Not Applicable,100% of Medicare,1632.74,1608.63,1677.5
NYEE,AETNA AETNA CHOICE  POS II NET 00357,37799,Unlisted vascular surgery procedure,Not Applicable,100% of Medicare,1330.19,383,2843.73
NYEE,AETNA AETNA OPEN ACCESS  ELECT CHOICE NET 01344,37799,Unlisted vascular surgery procedure,Not Applicable,100% of Medicare,450.85,383,2843.73
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,37799,Unlisted vascular surgery procedure,Not Applicable,100% of Medicare,2843.73,383,2843.73
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC,37799,Unlisted vascular surgery procedure,Not Applicable,100% of Medicare,383,383,2843.73
NYEE,UNITEDHEALTHCARE SERVICES INC AND ITS AFFILIATES AARP MEDICARECOMPLETE MOSAIC,38505,Excision of superficial lymph node,Not Applicable,100% of Medicare,1584.65,1584.65,1584.65
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,38510,Open biopsy of deep cervical lymph node,Not Applicable,100% of Medicare,1649.42,1649.42,3550.51
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES,38510,Open biopsy of deep cervical lymph node,Not Applicable,100% of Medicare,1649.42,1649.42,3550.51
NYEE,UNITEDHEALTHCARE SERVICES INC AND ITS AFFILIATES AARP MCADVANTAGE MOSAIC CHOICE,38510,Open biopsy of deep cervical lymph node,Not Applicable,100% of Medicare,3550.51,1649.42,3550.51
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",38724,Excision of cervical lymph node with modified radical dissection of neck,Not Applicable,100% of Medicare,1150.29,1150.29,1863.84
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY ESSENTIAL PLAN STANDARD COPAY,38724,Excision of cervical lymph node with modified radical dissection of neck,Not Applicable,100% of Medicare,1863.84,1150.29,1863.84
NYEE,FIDELIS CARE NEW YORK - MEDICARE ADVANTAGE DUAL ELIGIBLE NETWORK - MEDICARE/MEDICAID,40525,Full thickness excision of lower lip with reconstruction using local flap,Not Applicable,100% of Medicare,264.66,264.66,264.66
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES,40720,Secondary plastic repair of cleft lip and nasal deformity by recreation of defect and reclosure,Not Applicable,100% of Medicare,3392.79,3392.79,3392.79
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS CHIP",40819,Excision of buccal frenum,Not Applicable,100% of Medicare,1903.9,1903.9,1903.9
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES,40819,Excision of buccal frenum,Not Applicable,100% of Medicare,1903.9,1903.9,1903.9
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,41010,Incision of lingual frenum,Not Applicable,100% of Medicare,1444.99,1444.99,1444.99
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",41010,Incision of lingual frenum,Not Applicable,100% of Medicare,1444.99,1444.99,1444.99
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,41100,Biopsy of anterior two-thirds of tongue,Not Applicable,100% of Medicare,955.45,955.45,955.45
NYEE,EH FACET EFT,41110,Excision of lesion of tongue,Not Applicable,100% of Medicare,2143.45,2143.45,2143.45
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,41115,EXCISION OF LINGUAL FRENUM,5930.14,"$1,640.12 ",2650.21,2650.21,2650.21
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,41120,"Glossectomy, less than one-half of tongue",Not Applicable,100% of Medicare,2650.21,2650.21,2650.21
NYEE,GOLDCARE I,41120,"Glossectomy, less than one-half of tongue",Not Applicable,100% of Medicare,2650.21,2650.21,2650.21
NYEE,AETNA AETNA OPEN ACCESS  ELECT CHOICE NET 01344,41899,Unlisted procedure on dentoalveolar structure,Not Applicable,100% of Medicare,5909.06,5909.06,5909.06
NYEE,"WELLCARE OF NEW YORK, INC",42100,"BIOSPY OF PALATE, UVULA",5930.14,"$1,640.12 ",1517.14,1517.14,1517.14
NYEE,AFFINITY HEALTH PLAN,42104,EXCISION LESION OF PALATE,11511.38,"$3,317.60 ",2094.29,2094.29,2151.41
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY ESSENTIAL PLAN ALIESSA NO COPAY,42104,EXCISION LESION OF PALATE,11511.38,"$3,317.60 ",2151.41,2094.29,2151.41
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,42145,Palatopharyngoplasty,Not Applicable,100% of Medicare,3392.79,2060,3392.79
NYEE,METROPLUS HEALTH PLAN,42145,Palatopharyngoplasty,Not Applicable,100% of Medicare,3324.93,2060,3392.79
NYEE,OSCAR INSURANCE CORPORATION,42145,Palatopharyngoplasty,Not Applicable,100% of Medicare,2060,2060,3392.79
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,42408,Excision of sublingual salivary cyst,Not Applicable,100% of Medicare,1903.9,1903.9,1903.9
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",42408,Excision of sublingual salivary cyst,Not Applicable,100% of Medicare,1903.9,1903.9,1903.9
NYEE,AETNA AETNA OPEN ACCESS  MANAGED CHOICE NET 00357,42415,Excision of lateral lobe of parotid gland with dissection and preservation of facial nerve,Not Applicable,100% of Medicare,5533.57,3689.41,7383.42
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS ESSENTIAL PLAN",42415,Excision of lateral lobe of parotid gland with dissection and preservation of facial nerve,Not Applicable,100% of Medicare,3764.71,3689.41,7383.42
NYEE,METROPLUS ENHANCED (HARP),42415,Excision of lateral lobe of parotid gland with dissection and preservation of facial nerve,Not Applicable,100% of Medicare,3689.41,3689.41,7383.42
NYEE,METROPLUS HEALTH PLAN,42415,Excision of lateral lobe of parotid gland with dissection and preservation of facial nerve,Not Applicable,100% of Medicare,3689.41,3689.41,7383.42
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,42415,Excision of lateral lobe of parotid gland with dissection and preservation of facial nerve,Not Applicable,100% of Medicare,7383.42,3689.41,7383.42
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES WITH BH,42415,Excision of lateral lobe of parotid gland with dissection and preservation of facial nerve,Not Applicable,100% of Medicare,3764.71,3689.41,7383.42
NYEE,WELLCARE OF NEW YORK INC,42415,Excision of lateral lobe of parotid gland with dissection and preservation of facial nerve,Not Applicable,100% of Medicare,3877.65,3689.41,7383.42
NYEE,AETNA AETNA OPEN ACCESS  ELECT CHOICE NET 01344,42440,Excision of submandibular gland,Not Applicable,100% of Medicare,4632.96,2277.06,4632.96
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,42440,Excision of submandibular gland,Not Applicable,100% of Medicare,2277.06,2277.06,4632.96
NYEE,AETNA AETNA OPEN ACCESS  MANAGED CHOICE NET 00357,42800,BIOPSY OROPHARYNX,7090.96,"$1,640.12 ",1458.08,1458.08,4223
NYEE,METROPLUS HEALTH PLAN,42800,BIOPSY OROPHARYNX,7090.96,"$1,640.12 ",2613.22,1458.08,4223
NYEE,OSCAR INSURANCE CORPORATION,42800,BIOPSY OROPHARYNX,7090.96,"$1,640.12 ",4223,1458.08,4223
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS ESSENTIAL PLAN",42804,"NASOPHARYNX,VISIBLE LESION,SIM",11511.38,"$3,317.60 ",1559.08,960.98,5507.61
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES WITH BH,42804,"NASOPHARYNX,VISIBLE LESION,SIM",11511.38,"$3,317.60 ",960.98,960.98,5507.61
NYEE,METROPLUS HEALTH PLAN,42810,Excision of branchial cleft cyst confined to skin and subcutaneous tissues,Not Applicable,100% of Medicare,2597.2,2597.2,4223
NYEE,OSCAR INSURANCE CORPORATION,42810,Excision of branchial cleft cyst confined to skin and subcutaneous tissues,Not Applicable,100% of Medicare,4223,2597.2,4223
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES,42815,Excision of branchial cleft cyst extending beneath subcutaneous tissues,Not Applicable,100% of Medicare,1903.9,1903.9,1903.9
NYEE,AETNA AETNA CHOICE  POS II NET 00357,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,4239.39,1622.18,5127
NYEE,AETNA AETNA CHOICE  POS II NET 08134,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,4632.96,1622.18,5127
NYEE,AETNA AETNA OPEN ACCESS  ELECT CHOICE NET 01344,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,4681.74,1622.18,5127
NYEE,AETNA AETNA OPEN ACCESS  MANAGED CHOICE NET 00357,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,4681.74,1622.18,5127
NYEE,AETNA OA MANAGED CHOICE  POS HDHP,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,4564.99,1622.18,5127
NYEE,AETNA OPEN ACCESS AETNA SELECT  8480 NET 01344,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,4730.53,1622.18,5127
NYEE,EH FACET EFT,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,4713.18,1622.18,5127
NYEE,EMPIRE HEALTHCHOICE ASSURANCE,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,2905,1622.18,5127
NYEE,FIDELIS CARE NEW YORK CHILD HEALTH PLUS NETWORK,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1655.29,1622.18,5127
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1655.29,1622.18,5127
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS CHIP",42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1655.29,1622.18,5127
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1655.29,1622.18,5127
NYEE,METROPLUS HEALTH PLAN,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1622.18,1622.18,5127
NYEE,METROPLUS HEALTH PLAN - HHC,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1622.18,1622.18,5127
NYEE,NYSDOH,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1655.29,1622.18,5127
NYEE,OSCAR INSURANCE CORPORATION,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,4100,1622.18,5127
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,4949,1622.18,5127
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,5127,1622.18,5127
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1655.29,1622.18,5127
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR KIDS,42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1655.29,1622.18,5127
NYEE,"WELLCARE OF NEW YORK, INC",42820,"Tonsillectomy and adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1704.94,1622.18,5127
NYEE,AETNA AETNA CHOICE  POS II NET 00357,42821,"Tonsillectomy and adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,4499.22,769.79,5225.75
NYEE,AETNA AETNA OPEN ACCESS  ELECT CHOICE NET 01344,42821,"Tonsillectomy and adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,4239.39,769.79,5225.75
NYEE,AETNA AETNA OPEN ACCESS  MANAGED CHOICE NET 00357,42821,"Tonsillectomy and adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,4632.96,769.79,5225.75
NYEE,AETNA OPEN ACCESS AETNA SELECT  8480 NET 01344,42821,"Tonsillectomy and adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,4681.74,769.79,5225.75
NYEE,AFFINITY HEALTH PLAN,42821,"Tonsillectomy and adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1820.82,769.79,5225.75
NYEE,EMPIRE HEALTHCHOICE ASSURANCE,42821,"Tonsillectomy and adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,3887.5,769.79,5225.75
NYEE,FIDELIS CARE NEW YORK ESSENTIAL PLAN - ALIESSA,42821,"Tonsillectomy and adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1655.29,769.79,5225.75
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,42821,"Tonsillectomy and adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1655.29,769.79,5225.75
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",42821,"Tonsillectomy and adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1655.29,769.79,5225.75
NYEE,METROPLUS HEALTH PLAN,42821,"Tonsillectomy and adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1622.18,769.79,5225.75
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC,42821,"Tonsillectomy and adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,5166.5,769.79,5225.75
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,42821,"Tonsillectomy and adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,5225.75,769.79,5225.75
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES,42821,"Tonsillectomy and adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,769.79,769.79,5225.75
NYEE,"WELLCARE OF NEW YORK, INC",42821,"Tonsillectomy and adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1704.94,769.79,5225.75
NYEE,EMPIRE HEALTHCHOICE ASSURANCE,42825,"Primary tonsillectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,5206,1622.18,5206
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",42825,"Primary tonsillectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1655.29,1622.18,5206
NYEE,METROPLUS HEALTH PLAN,42825,"Primary tonsillectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1622.18,1622.18,5206
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES,42825,"Primary tonsillectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1655.29,1622.18,5206
NYEE,AETNA AETNA CHOICE  POS II NET 00357,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,4413.7,923.75,8476.39
NYEE,AETNA AETNA OPEN ACCESS  ELECT CHOICE NET 01344,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,5370.77,923.75,8476.39
NYEE,AETNA AETNA OPEN ACCESS  MANAGED CHOICE NET 00357,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,4681.74,923.75,8476.39
NYEE,EH FACET EFT,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,4800.24,923.75,8476.39
NYEE,EMPIRE HEALTHCHOICE ASSURANCE,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,4040,923.75,8476.39
NYEE,FIDELIS CARE NEW YORK ESSENTIAL PLAN - ALIESSA,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1655.29,923.75,8476.39
NYEE,FIDELIS CARE NEW YORK ESSENTIAL PLAN - NON ALIESSA,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,923.75,923.75,8476.39
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1655.29,923.75,8476.39
NYEE,FIDELIS CARE NEW YORK-EXCHANGES NY EXCHANGES NETWORK,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,3125.61,923.75,8476.39
NYEE,GHI FACETS,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,8476.39,923.75,8476.39
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS ESSENTIAL PLAN",42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,2317.41,923.75,8476.39
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1655.29,923.75,8476.39
NYEE,METROPLUS ESSENTIAL PLAN,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1986.34,923.75,8476.39
NYEE,METROPLUS HEALTH PLAN,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1622.18,923.75,8476.39
NYEE,OSCAR INSURANCE CORPORATION,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,4223,923.75,8476.39
NYEE,UMR MOUNT SINAI HEALTH SYSTEM,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,8460,923.75,8476.39
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,5225.75,923.75,8476.39
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,5176.37,923.75,8476.39
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES TRANS,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1655.29,923.75,8476.39
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES WITH BH,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1655.29,923.75,8476.39
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR KIDS,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1655.29,923.75,8476.39
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY ESSENTIAL PLAN ALIESSA NO COPAY,42826,"Primary tonsillectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1870.48,923.75,8476.39
NYEE,AETNA AETNA CHOICE  POS II NET 00357,42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,4632.96,1141.25,5011.35
NYEE,AETNA AETNA HEALTHFUND  AETNA CHOICE  POS II NET 00357,42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,2282.5,1141.25,5011.35
NYEE,AETNA AETNA OPEN ACCESS  ELECT CHOICE NET 01344,42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1141.25,1141.25,5011.35
NYEE,AETNA AETNA OPEN ACCESS  MANAGED CHOICE NET 00357,42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,3845.82,1141.25,5011.35
NYEE,AFFINITY HEALTH PLAN,42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1820.82,1141.25,5011.35
NYEE,EH FACET EFT,42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1655.29,1141.25,5011.35
NYEE,EMPIRE HEALTHCHOICE ASSURANCE,42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,4708.35,1141.25,5011.35
NYEE,FIDELIS CARE NEW YORK CHILD HEALTH PLUS NETWORK,42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1655.29,1141.25,5011.35
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1655.29,1141.25,5011.35
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS CHIP",42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1655.29,1141.25,5011.35
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1655.29,1141.25,5011.35
NYEE,METROPLUS HEALTH PLAN,42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1622.18,1141.25,5011.35
NYEE,OSCAR INSURANCE CORPORATION,42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,4223,1141.25,5011.35
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,5011.35,1141.25,5011.35
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES SEL+POS,42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,3083.26,1141.25,5011.35
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES,42830,"Primary adenoidectomy, patient younger than 12 years of age",Not Applicable,100% of Medicare,1655.29,1141.25,5011.35
NYEE,EH FACET EFT,42831,"Primary adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,4450,544,4450
NYEE,EMPIRE HEALTHCHOICE ASSURANCE,42831,"Primary adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,544,544,4450
NYEE,FIDELIS CARE NEW YORK ESSENTIAL PLAN - ALIESSA,42831,"Primary adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,769.79,544,4450
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,42831,"Primary adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,769.79,544,4450
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS CHIP",42831,"Primary adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1655.29,544,4450
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",42831,"Primary adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1655.29,544,4450
NYEE,METROPLUS HEALTH PLAN,42831,"Primary adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1622.18,544,4450
NYEE,NYSDOH,42831,"Primary adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1655.29,544,4450
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES,42831,"Primary adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1655.29,544,4450
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES WITH BH,42831,"Primary adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1655.29,544,4450
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY ESSENTIAL PLAN ALIESSA NO COPAY,42831,"Primary adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,1870.48,544,4450
NYEE,AETNA AETNA CHOICE  POS II NET 00357,42836,"Secondary adenoidectomy, patient 12 years of age or older",Not Applicable,100% of Medicare,2119.7,2119.7,2119.695
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,43130,Diverticulectomy of esophagus by cervical approach,Not Applicable,100% of Medicare,7313,7313,7313
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,43180,Rigid esophagoscopy with diverticulectomy of cervical esophagus and cricopharyngeal myotomy,Not Applicable,100% of Medicare,5176.37,5176.37,5176.37
NYEE,AETNA PREMIER PPO NET 03397,43195,Rigid transoral esophagoscopy with balloon dilation,Not Applicable,100% of Medicare,3514.8,2327,3514.8
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,43195,Rigid transoral esophagoscopy with balloon dilation,Not Applicable,100% of Medicare,2327,2327,3514.8
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,43200,Diagnostic flexible transoral esophagoscopy,Not Applicable,100% of Medicare,975.42,975.42,975.42
NYEE,AETNA PREMIER PPO NET 03397,55970,Male to female intersex surgery,Not Applicable,100% of Medicare,94460.4,94460.4,94460.4
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,56805,Clitoroplasty for intersex state,Not Applicable,100% of Medicare,5176.38,5176.38,5176.375
NYEE,AETNA AETNA CHOICE  POS II NET 00357,60220,Unilateral total thyroid lobectomy,Not Applicable,100% of Medicare,7750.84,3233.76,11818.11
NYEE,AETNA OPEN ACCESS AETNA SELECT  8480 NET 01344,60220,Unilateral total thyroid lobectomy,Not Applicable,100% of Medicare,11818.11,3233.76,11818.11
NYEE,AETNA OPEN ACCESS AETNA SELECT  8480 NET 08135,60220,Unilateral total thyroid lobectomy,Not Applicable,100% of Medicare,10283.29,3233.76,11818.11
NYEE,FIDELIS CARE NEW YORK ESSENTIAL PLAN - NON ALIESSA,60220,Unilateral total thyroid lobectomy,Not Applicable,100% of Medicare,3880.51,3233.76,11818.11
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,60220,Unilateral total thyroid lobectomy,Not Applicable,100% of Medicare,3233.76,3233.76,11818.11
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS ESSENTIAL PLAN",60220,Unilateral total thyroid lobectomy,Not Applicable,100% of Medicare,4527.26,3233.76,11818.11
