Date current as of 9/27/21,,,,,,,,
,,,,,,,,
CAMPUS,Payer/Plan Name,DRG/CPT/HCPCS Code,DRG/CPT/HCPCS Description,Gross Charge,Discounted Cash Price,Negotiated Charge,Minimum Negotiated Charge,Maximum Negotiated Charge
MSQ,EMBLEMHEALTH - HIP HMO PRIME NETWORK,15733,Formation of buccinator flap graft with preservation of vascular pedicle,Not Applicable,100% of Medicare,5965.57,5965.57,5965.57
MSQ,1199SEIU HOMECARE BENEFIT FUND,15734,Formation of fasciocutaneous flap graft of trunk,Not Applicable,100% of Medicare,2328,2328,2328
MSQ,1199SEIU NATIONAL BENEFIT FUND,16000,INITIAL TREATMENT OF BURN(S),125,$100.00 ,711,462.7,1252.755
MSQ,AFFINITY HEALTH PLAN,16000,INITIAL TREATMENT OF BURN(S),125,$100.00 ,575.8,462.7,1252.755
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,16000,INITIAL TREATMENT OF BURN(S),125,$100.00 ,1252.76,462.7,1252.755
MSQ,FIDELIS CARE NEW YORK NEW YORK MEDICAID,16000,INITIAL TREATMENT OF BURN(S),125,$100.00 ,462.7,462.7,1252.755
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS ESSENTIAL PLAN",16000,INITIAL TREATMENT OF BURN(S),125,$100.00 ,719.75,462.7,1252.755
MSQ,FIDELIS CARE NEW YORK NEW YORK MEDICAID,16020,"DRESS/DEBRID P-THICK BURN, S",240,$192.00 ,514.76,240,1262.94
MSQ,METROPLUS ESSENTIAL PLAN,16020,"DRESS/DEBRID P-THICK BURN, S",240,$192.00 ,240,240,1262.94
MSQ,METROPLUS HEALTH PLAN,16020,"DRESS/DEBRID P-THICK BURN, S",240,$192.00 ,514.76,240,1262.94
MSQ,NYSDOH,16020,"DRESS/DEBRID P-THICK BURN, S",240,$192.00 ,507.49,240,1262.94
MSQ,UNITEDHEALTHCARE INSURANCE COMPAN CHOYC+,16020,"DRESS/DEBRID P-THICK BURN, S",240,$192.00 ,1262.94,240,1262.94
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES WITH BH,16020,"DRESS/DEBRID P-THICK BURN, S",240,$192.00 ,507.28,240,1262.94
MSQ,EMBLEMHEALTH - HIP ENHANCED CARE NETWORK,17110,"DESTRUCT B9 LESION, 1-14",138,$110.40 ,348.56,348.56,362.91
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES WITH BH,17110,"DESTRUCT B9 LESION, 1-14",138,$110.40 ,362.91,348.56,362.91
MSQ,FIDELIS CARE NEW YORK NEW YORK MEDICAID,19000,DRAINAGE ASPIR BREAST LESION,1400,$754.08 ,656.23,656.23,656.23
MSQ,AETNA PREMIER PPO NET 03397,19081,BX BREAST 1ST LESION STRTCTC,3000,"$1,705.85 ",1608.63,1608.63,4480.18
MSQ,EMBLEMHEALTH - HIP VIP PRIME,19081,BX BREAST 1ST LESION STRTCTC,3000,"$1,705.85 ",1608.63,1608.63,4480.18
MSQ,OSCAR INSURANCE CORPORATION,19081,BX BREAST 1ST LESION STRTCTC,3000,"$1,705.85 ",4480.18,1608.63,4480.18
MSQ,1199SEIU NATIONAL BENEFIT FUND,19083,BX BREAST 1ST LESION US IMAG,2800,"$1,705.85 ",3135,1662.9,5468.375
MSQ,AETNA AETNA OPEN ACCESS  ELECT CHOICE NET 01344,19083,BX BREAST 1ST LESION US IMAG,2800,"$1,705.85 ",2455.71,1662.9,5468.375
MSQ,AETNA MTA NYCT OPTION 1 PLAN NET 03397,19083,BX BREAST 1ST LESION US IMAG,2800,"$1,705.85 ",2729.7,1662.9,5468.375
MSQ,CIGNA HEALTH AND LIFE INSURANCE C EPP (NETWORK),19083,BX BREAST 1ST LESION US IMAG,2800,"$1,705.85 ",4181,1662.9,5468.375
MSQ,EH FACET EFT,19083,BX BREAST 1ST LESION US IMAG,2800,"$1,705.85 ",1991.97,1662.9,5468.375
MSQ,EMBLEMHEALTH - HIP HMO PRIME NETWORK,19083,BX BREAST 1ST LESION US IMAG,2800,"$1,705.85 ",3213.18,1662.9,5468.375
MSQ,EMBLEMHEALTH - HIP HMO SELECTCARE INDIVIDUAL,19083,BX BREAST 1ST LESION US IMAG,2800,"$1,705.85 ",5468.38,1662.9,5468.375
MSQ,EMBLEMHEALTH - HIP VIP PRIME,19083,BX BREAST 1ST LESION US IMAG,2800,"$1,705.85 ",1662.9,1662.9,5468.375
MSQ,OSCAR INSURANCE CORPORATION,19083,BX BREAST 1ST LESION US IMAG,2800,"$1,705.85 ",4349.69,1662.9,5468.375
MSQ,UMR MOUNT SINAI HEALTH SYSTEM,19083,BX BREAST 1ST LESION US IMAG,2800,"$1,705.85 ",2193.57,1662.9,5468.375
MSQ,UNITEDHEALTHCARE INSURANCE COMPAN CHOYC+,19083,BX BREAST 1ST LESION US IMAG,2800,"$1,705.85 ",3612.46,1662.9,5468.375
MSQ,1199SEIU NATIONAL BENEFIT FUND,19084,BX BREAST ADD LESION US IMAG,1600,100% of Medicare,898,898,2185.45
MSQ,OSCAR INSURANCE CORPORATION,19084,BX BREAST ADD LESION US IMAG,1600,100% of Medicare,2185.45,898,2185.45
MSQ,CIGNA HEALTH AND LIFE INSURANCE C OPEN ACCESS PLUS,19120,Open excision of multiple benign tumor of breast,Not Applicable,100% of Medicare,2891,838.31,4223
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,19120,Open excision of multiple benign tumor of breast,Not Applicable,100% of Medicare,4196,838.31,4223
MSQ,FIDELIS CARE NEW YORK NEW YORK MEDICAID,19120,Open excision of multiple benign tumor of breast,Not Applicable,100% of Medicare,1792.32,838.31,4223
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS ESSENTIAL PLAN",19120,Open excision of multiple benign tumor of breast,Not Applicable,100% of Medicare,2509.25,838.31,4223
MSQ,METROPLUS ESSENTIAL PLAN,19120,Open excision of multiple benign tumor of breast,Not Applicable,100% of Medicare,2211.48,838.31,4223
MSQ,METROPLUS HEALTH PLAN,19120,Open excision of multiple benign tumor of breast,Not Applicable,100% of Medicare,1756.47,838.31,4223
MSQ,OSCAR INSURANCE CORPORATION,19120,Open excision of multiple benign tumor of breast,Not Applicable,100% of Medicare,4223,838.31,4223
MSQ,UMR,19120,Open excision of multiple benign tumor of breast,Not Applicable,100% of Medicare,1919.49,838.31,4223
MSQ,UMR G III LEATHER FASHIONS INC,19120,Open excision of multiple benign tumor of breast,Not Applicable,100% of Medicare,2421.99,838.31,4223
MSQ,UMR MOUNT SINAI HEALTH SYSTEM,19120,Open excision of multiple benign tumor of breast,Not Applicable,100% of Medicare,1578.28,838.31,4223
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES WITH BH,19120,Open excision of multiple benign tumor of breast,Not Applicable,100% of Medicare,838.31,838.31,4223
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,19120,Open excision of multiple benign tumor of breast,Not Applicable,100% of Medicare,3550.51,838.31,4223
MSQ,AETNA AETNA OPEN ACCESS  ELECT CHOICE NET 01344,19125,Open excision of single lesion of breast identified by preoperative placement of radiological marker,Not Applicable,100% of Medicare,4828.11,1756.47,7167
MSQ,AETNA OPEN ACCESS AETNA SELECT  8480 NET 01344,19125,Open excision of single lesion of breast identified by preoperative placement of radiological marker,Not Applicable,100% of Medicare,4928.96,1756.47,7167
MSQ,BCBS FEP,19125,Open excision of single lesion of breast identified by preoperative placement of radiological marker,Not Applicable,100% of Medicare,7167,1756.47,7167
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,19125,Open excision of single lesion of breast identified by preoperative placement of radiological marker,Not Applicable,100% of Medicare,4196,1756.47,7167
MSQ,FIDELIS CARE NEW YORK ESSENTIAL PLAN - NON ALIESSA,19125,Open excision of single lesion of breast identified by preoperative placement of radiological marker,Not Applicable,100% of Medicare,2150.78,1756.47,7167
MSQ,FIDELIS CARE NEW YORK NEW YORK MEDICAID,19125,Open excision of single lesion of breast identified by preoperative placement of radiological marker,Not Applicable,100% of Medicare,1792.32,1756.47,7167
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",19125,Open excision of single lesion of breast identified by preoperative placement of radiological marker,Not Applicable,100% of Medicare,1792.32,1756.47,7167
MSQ,METROPLUS ESSENTIAL PLAN,19125,Open excision of single lesion of breast identified by preoperative placement of radiological marker,Not Applicable,100% of Medicare,2150.78,1756.47,7167
MSQ,METROPLUS HEALTH PLAN,19125,Open excision of single lesion of breast identified by preoperative placement of radiological marker,Not Applicable,100% of Medicare,1756.47,1756.47,7167
MSQ,OSCAR INSURANCE CORPORATION,19125,Open excision of single lesion of breast identified by preoperative placement of radiological marker,Not Applicable,100% of Medicare,4480.18,1756.47,7167
MSQ,OXFORD HEALTH INSURANCE INC FREEDOM NETWORK,19125,Open excision of single lesion of breast identified by preoperative placement of radiological marker,Not Applicable,100% of Medicare,3289,1756.47,7167
MSQ,UMR G III LEATHER FASHIONS INC,19125,Open excision of single lesion of breast identified by preoperative placement of radiological marker,Not Applicable,100% of Medicare,2245.98,1756.47,7167
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,19125,Open excision of single lesion of breast identified by preoperative placement of radiological marker,Not Applicable,100% of Medicare,3493.7,1756.47,7167
MSQ,OSCAR INSURANCE CORPORATION,19126,Open excision of each additional breast lesion identified by preoperative placement of radiological marker,Not Applicable,100% of Medicare,2153.63,2153.63,2153.625
MSQ,1199SEIU HOMECARE BENEFIT FUND,19281,PERQ DEVICE BREAST 1ST IMAG,2700,$754.08 ,316,67.85,2185.45
MSQ,AETNA OPEN ACCESS AETNA SELECT  8480 NET 01344,19281,PERQ DEVICE BREAST 1ST IMAG,2700,$754.08 ,1036,67.85,2185.45
MSQ,GREATWESTHEALTHCARE-CIGNA OPEN ACCESS PLUS,19281,PERQ DEVICE BREAST 1ST IMAG,2700,$754.08 ,1263.07,67.85,2185.45
MSQ,OSCAR INSURANCE CORPORATION,19281,PERQ DEVICE BREAST 1ST IMAG,2700,$754.08 ,2185.45,67.85,2185.45
MSQ,OXFORD HEALTH INSURANCE INC FREEDOM NETWORK,19281,PERQ DEVICE BREAST 1ST IMAG,2700,$754.08 ,862.25,67.85,2185.45
MSQ,UMR G III LEATHER FASHIONS INC,19281,PERQ DEVICE BREAST 1ST IMAG,2700,$754.08 ,1212.83,67.85,2185.45
MSQ,UNITEDHEALTHCARE SERVICES INC AND VERIZON,19281,PERQ DEVICE BREAST 1ST IMAG,2700,$754.08 ,67.85,67.85,2185.45
MSQ,OSCAR INSURANCE CORPORATION,19282,PERQ DEVICE BREAST EA IMAG,1600,100% of Medicare,2121.8,2121.8,2121.8
MSQ,OSCAR INSURANCE CORPORATION,19285,PERQ DEV BREAST 1ST US IMAG,2700,$754.08 ,2256.64,2256.64,2256.635
MSQ,1199SEIU HOMECARE BENEFIT FUND,19301,Partial mastectomy,Not Applicable,100% of Medicare,2993,295,4085.96
MSQ,1199SEIU NATIONAL BENEFIT FUND,19301,Partial mastectomy,Not Applicable,100% of Medicare,1567.5,295,4085.96
MSQ,AETNA ADV PLAN 700 NET 03397,19301,Partial mastectomy,Not Applicable,100% of Medicare,3414.95,295,4085.96
MSQ,AETNA AETNA HEALTHFUND  AETNA CHOICE  POS II NET 00357,19301,Partial mastectomy,Not Applicable,100% of Medicare,3247.24,295,4085.96
MSQ,AETNA AETNA OPEN ACCESS  ELECT CHOICE NET 01344,19301,Partial mastectomy,Not Applicable,100% of Medicare,2464.48,295,4085.96
MSQ,AETNA OPEN ACCESS AETNA SELECT  8480 NET 01344,19301,Partial mastectomy,Not Applicable,100% of Medicare,3176.31,295,4085.96
MSQ,EMBLEMHEALTH - HIP ECPN ESSENTIAL A PLAN NET,19301,Partial mastectomy,Not Applicable,100% of Medicare,2981.53,295,4085.96
MSQ,EMBLEMHEALTH - HIP VIP PRIME,19301,Partial mastectomy,Not Applicable,100% of Medicare,3670.3,295,4085.96
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,19301,Partial mastectomy,Not Applicable,100% of Medicare,3670.3,295,4085.96
MSQ,FIDELIS CARE NEW YORK NEW YORK MEDICAID,19301,Partial mastectomy,Not Applicable,100% of Medicare,2483.24,295,4085.96
MSQ,GREATWESTHEALTHCARE-CIGNA OPEN ACCESS PLUS,19301,Partial mastectomy,Not Applicable,100% of Medicare,4085.96,295,4085.96
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS ESSENTIAL PLAN",19301,Partial mastectomy,Not Applicable,100% of Medicare,2483.24,295,4085.96
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",19301,Partial mastectomy,Not Applicable,100% of Medicare,2483.24,295,4085.96
MSQ,METROPLUS ESSENTIAL PLAN,19301,Partial mastectomy,Not Applicable,100% of Medicare,2483.24,295,4085.96
MSQ,METROPLUS HEALTH PLAN,19301,Partial mastectomy,Not Applicable,100% of Medicare,2433.57,295,4085.96
MSQ,OSCAR INSURANCE CORPORATION,19301,Partial mastectomy,Not Applicable,100% of Medicare,2185.45,295,4085.96
MSQ,UMR,19301,Partial mastectomy,Not Applicable,100% of Medicare,2508.05,295,4085.96
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES WITH BH,19301,Partial mastectomy,Not Applicable,100% of Medicare,2483.24,295,4085.96
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,19301,Partial mastectomy,Not Applicable,100% of Medicare,3835.46,295,4085.96
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARECOMPLETE MOSAIC,19301,Partial mastectomy,Not Applicable,100% of Medicare,295,295,4085.96
MSQ,UNITEDHEALTHCARE SERVICES INC AND VERIZON,19301,Partial mastectomy,Not Applicable,100% of Medicare,316.67,295,4085.96
MSQ,"WELLCARE OF NEW YORK, INC",19301,Partial mastectomy,Not Applicable,100% of Medicare,3667.01,295,4085.96
MSQ,METROPLUS ESSENTIAL PLAN,19302,Partial mastectomy with axillary lymphadenectomy,Not Applicable,100% of Medicare,2979.88,2513.27,2979.88
MSQ,OSCAR INSURANCE CORPORATION,19302,Partial mastectomy with axillary lymphadenectomy,Not Applicable,100% of Medicare,2513.27,2513.27,2979.88
MSQ,OSCAR INSURANCE CORPORATION,19303,Simple complete mastectomy,Not Applicable,100% of Medicare,4224.84,4224.84,4224.845
MSQ,OSCAR INSURANCE CORPORATION,19316,Mastopexy,Not Applicable,100% of Medicare,3080,3080,3080
MSQ,UMR MOUNT SINAI HEALTH SYSTEM,19318,Breast reduction,Not Applicable,100% of Medicare,6930,6930,6930
MSQ,OSCAR INSURANCE CORPORATION,19325,Breast augmentation with implant,Not Applicable,100% of Medicare,2000,2000,2000
MSQ,EMBLEMHEALTH - HIP ENHANCED CARE NETWORK,19340,Insertion of breast implant on same day as mastectomy,Not Applicable,100% of Medicare,2445.99,2185.45,2445.99
MSQ,OSCAR INSURANCE CORPORATION,19340,Insertion of breast implant on same day as mastectomy,Not Applicable,100% of Medicare,2185.45,2185.45,2445.99
MSQ,OSCAR INSURANCE CORPORATION,19342,Insertion of breast implant on separate day from mastectomy,Not Applicable,100% of Medicare,4100,4100,4100
MSQ,EH FACET EFT,19350,Reconstruction of areola,Not Applicable,100% of Medicare,2527.5,300,2527.5
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,19350,Reconstruction of areola,Not Applicable,100% of Medicare,1415.05,300,2527.5
MSQ,UMR,19350,Reconstruction of areola,Not Applicable,100% of Medicare,1919.49,300,2527.5
MSQ,UNITEDHEALTHCARE SERVICES INC AND VERIZON,19350,Reconstruction of areola,Not Applicable,100% of Medicare,300,300,2527.5
MSQ,1199SEIU NATIONAL BENEFIT FUND,19366,Breast reconstruction,Not Applicable,100% of Medicare,4807.5,4807.5,6241.435
MSQ,OSCAR INSURANCE CORPORATION,19370,Revision of peri-implant capsule of breast with capsulorrhaphy,Not Applicable,100% of Medicare,2185.45,2185.45,2185.45
MSQ,OSCAR INSURANCE CORPORATION,19371,"Complete excision of peri-implant capsule of breast, including complete removal of contents of capsule",Not Applicable,100% of Medicare,2060,2060,2060
MSQ,EH FACET EFT,19380,Revision of autologous reconstruction of breast with re-advancement and re-inset of flaps,Not Applicable,100% of Medicare,2735,2349.36,2735
MSQ,OSCAR INSURANCE CORPORATION,19380,Revision of autologous reconstruction of breast with re-advancement and re-inset of flaps,Not Applicable,100% of Medicare,2349.36,2349.36,2735
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,20205,Deep biopsy of muscle,Not Applicable,100% of Medicare,2717.65,2717.65,2717.65
MSQ,METROPLUS HEALTH PLAN,20206,MUSCLE NEEDLE BIOPSY,1500,"$1,200.00 ",643.1,643.1,1662.9
MSQ,1199SEIU NATIONAL BENEFIT FUND,20220,BONE BX TROCAR NEEDLE SUPERF,3000,"$1,705.85 ",1585.5,707.56,1608.63
MSQ,METROPLUS HEALTH PLAN,20220,BONE BX TROCAR NEEDLE SUPERF,3000,"$1,705.85 ",707.56,707.56,1608.63
MSQ,NYSDOH,20220,BONE BX TROCAR NEEDLE SUPERF,3000,"$1,705.85 ",722,707.56,1608.63
MSQ,UMR MOUNT SINAI HEALTH SYSTEM,20220,BONE BX TROCAR NEEDLE SUPERF,3000,"$1,705.85 ",961.82,707.56,1608.63
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,20220,BONE BX TROCAR NEEDLE SUPERF,3000,"$1,705.85 ",1608.63,707.56,1608.63
MSQ,METROPLUS ESSENTIAL PLAN,20526,THER INJECTION CARP TUNNEL,340,$272.00 ,375.74,375.74,375.74
MSQ,AETNA OPEN CHOICE NET 00391,20550,INJ SINGLE TENDON OR LIGAMENT,250,$200.00 ,250,149.24,441.27
MSQ,EH FACET EFT,20550,INJ SINGLE TENDON OR LIGAMENT,250,$200.00 ,171.75,149.24,441.27
MSQ,EMBLEMHEALTH - HIP VIP PRIME,20550,INJ SINGLE TENDON OR LIGAMENT,250,$200.00 ,311.95,149.24,441.27
MSQ,FIDELIS CARE NEW YORK ESSENTIAL PLAN - NON ALIESSA,20550,INJ SINGLE TENDON OR LIGAMENT,250,$200.00 ,411.78,149.24,441.27
MSQ,GHI NYC EFT,20550,INJ SINGLE TENDON OR LIGAMENT,250,$200.00 ,149.24,149.24,441.27
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS ESSENTIAL PLAN",20550,INJ SINGLE TENDON OR LIGAMENT,250,$200.00 ,441.27,149.24,441.27
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",20550,INJ SINGLE TENDON OR LIGAMENT,250,$200.00 ,325.07,149.24,441.27
MSQ,METROPLUS HEALTH PLAN,20550,INJ SINGLE TENDON OR LIGAMENT,250,$200.00 ,319.36,149.24,441.27
MSQ,UMR MOUNT SINAI HEALTH SYSTEM,20550,INJ SINGLE TENDON OR LIGAMENT,250,$200.00 ,231.79,149.24,441.27
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,20550,INJ SINGLE TENDON OR LIGAMENT,250,$200.00 ,295.99,149.24,441.27
MSQ,VNS,20550,INJ SINGLE TENDON OR LIGAMENT,250,$200.00 ,325.88,149.24,441.27
MSQ,METROPLUS HEALTH PLAN,20552,INJ TRIGGER POINT 1/2 MUSCL,340,$272.00 ,336.28,336.28,336.28
MSQ,METROPLUS HEALTH PLAN - HHC,20553,INJ MULTI TRIGGER PTS 3 MUSCLE,340,$272.00 ,306.85,306.85,306.85
MSQ,METROPLUS ESSENTIAL PLAN,20600,ARTHROCENTESIS SM JOINT,500,$316.64 ,391.05,306.85,391.05
MSQ,METROPLUS HEALTH PLAN,20600,ARTHROCENTESIS SM JOINT,500,$316.64 ,319.36,306.85,391.05
MSQ,METROPLUS HEALTH PLAN - HHC,20600,ARTHROCENTESIS SM JOINT,500,$316.64 ,306.85,306.85,391.05
MSQ,"WELLCARE OF NEW YORK, INC",20600,ARTHROCENTESIS SM JOINT,500,$316.64 ,326.64,306.85,391.05
MSQ,CIGNA HEALTH AND LIFE INSURANCE C OPEN ACCESS PLUS IN-NETWORK,20605,ASP/ INJ INTERMED JOINT,600,$316.64 ,482.78,10.28,482.78
MSQ,EH FACET EFT,20605,ASP/ INJ INTERMED JOINT,600,$316.64 ,10.28,10.28,482.78
MSQ,NYSDOH LR,20605,ASP/ INJ INTERMED JOINT,600,$316.64 ,325.07,10.28,482.78
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,20605,ASP/ INJ INTERMED JOINT,600,$316.64 ,293.05,10.28,482.78
MSQ,UNITEDHEALTHCARE SERVICES INC AND UHC MCARE ADVANTAGE CHOICE PL3,20605,ASP/ INJ INTERMED JOINT,600,$316.64 ,300.65,10.28,482.78
MSQ,EH FACET EFT,20610,ASP/ INJ MAJOR JOINT,1000,$316.64 ,317.13,310.79,2735
MSQ,EMBLEMHEALTH - HIP VIP PRIME,20610,ASP/ INJ MAJOR JOINT,1000,$316.64 ,317.13,310.79,2735
MSQ,NYSDOH,20610,ARTHROCENTESIS MAJOR JT WO US,1000,$316.64 ,346.77,310.79,2735
MSQ,UNITEDHEALTHCARE INSURANCE COMPAN CHOYC+,20610,ASP/ INJ MAJOR JOINT,1000,$316.64 ,2735,310.79,2735
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE MOSAIC,20610,ASP/ INJ MAJOR JOINT,1000,$316.64 ,310.79,310.79,2735
MSQ,AETNA AETNA CHOICE  POS II NET 00357,20612,ASPIRATION INJ GANGLION CYST,900,$316.64 ,835.38,51.68,835.38
MSQ,CIGNA HEALTH AND LIFE INSURANCE C OPEN ACCESS PLUS IN-NETWORK,20612,ASPIRATION INJ GANGLION CYST,900,$316.64 ,375,51.68,835.38
MSQ,ELDERPLAN INC,20612,ASPIRATION INJ GANGLION CYST,900,$316.64 ,51.68,51.68,835.38
MSQ,GHI NYC EFT,20612,ASPIRATION INJ GANGLION CYST,900,$316.64 ,156.49,51.68,835.38
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",20612,ASPIRATION INJ GANGLION CYST,900,$316.64 ,325.07,51.68,835.38
MSQ,METROPLUS ESSENTIAL PLAN,20612,ASPIRATION INJ GANGLION CYST,900,$316.64 ,375.74,51.68,835.38
MSQ,METROPLUS HEALTH PLAN,20612,ASPIRATION INJ GANGLION CYST,900,$316.64 ,336.28,51.68,835.38
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES WITH BH,20612,ASPIRATION INJ GANGLION CYST,900,$316.64 ,181,51.68,835.38
MSQ,1199SEIU NATIONAL BENEFIT FUND,20680,Removal of deep buried wire,Not Applicable,100% of Medicare,3135,1435.46,5370.77
MSQ,AETNA AETNA OPEN ACCESS  MANAGED CHOICE NET 00357,20680,Removal of deep buried wire,Not Applicable,100% of Medicare,5370.77,1435.46,5370.77
MSQ,FIDELIS CARE NEW YORK NEW YORK MEDICAID,20680,Removal of deep buried wire,Not Applicable,100% of Medicare,1944.21,1435.46,5370.77
MSQ,FIDELIS CARE NEW YORK-EXCHANGES NY EXCHANGES NETWORK,20680,Removal of deep buried wire,Not Applicable,100% of Medicare,3090.27,1435.46,5370.77
MSQ,METROPLUS HEALTH PLAN,20680,Removal of deep buried wire,Not Applicable,100% of Medicare,1905.32,1435.46,5370.77
MSQ,WELLCARE OF NEW YORK INC,20680,Removal of deep buried wire,Not Applicable,100% of Medicare,1435.46,1435.46,5370.77
MSQ,EH FACET EFT,20900,Button bone graft,Not Applicable,100% of Medicare,16.32,16.32,16.32
MSQ,OSCAR INSURANCE CORPORATION,20926,unknown,Not Applicable,100% of Medicare,2300,2300,2300
MSQ,METROPLUS ESSENTIAL PLAN,21011,"Excision of subcutaneous tumor of soft tissue of scalp, less than 2.0 cm",Not Applicable,100% of Medicare,2756.92,1254.03,2756.92
MSQ,METROPLUS HEALTH PLAN,21011,"Excision of subcutaneous tumor of soft tissue of scalp, less than 2.0 cm",Not Applicable,100% of Medicare,1254.03,1254.03,2756.92
MSQ,AETNA PREMIER PPO NET 03397,21012,"Excision of subcutaneous tumor of soft tissue of face, 2.0 cm or more",Not Applicable,100% of Medicare,1608.63,1261.54,5961.17
MSQ,EMBLEMHEALTH - HIP HMO PRIME NETWORK,21012,"Excision of subcutaneous tumor of soft tissue of face, 2.0 cm or more",Not Applicable,100% of Medicare,5961.17,1261.54,5961.17
MSQ,FIDELIS CARE NEW YORK NEW YORK MEDICAID,21012,"Excision of subcutaneous tumor of soft tissue of face, 2.0 cm or more",Not Applicable,100% of Medicare,1261.54,1261.54,5961.17
MSQ,METROPLUS HEALTH PLAN,21013,"Excision of intramuscular tumor of soft tissue of face and scalp, less than 2.0 cm",Not Applicable,100% of Medicare,1416.09,1416.09,1416.09
MSQ,AETNA AETNA OPEN ACCESS  MANAGED CHOICE NET 00357,21014,"Excision of intramuscular tumor of soft tissue of face and scalp, 2.0 cm or more",Not Applicable,100% of Medicare,3133.78,3133.78,3133.775
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,21025,Excision of bone of mandible,Not Applicable,100% of Medicare,5181.57,5181.57,5181.57
MSQ,OSCAR INSURANCE CORPORATION,21040,Excision of benign tumor of mandible by curettage,Not Applicable,100% of Medicare,4223,4223,4223
MSQ,AFFINITY HEALTH PLAN,21310,TREATMENT OF NOSE FRACTURE,170,$136.00 ,158.68,90,1376.41
MSQ,CIGNA HEALTH AND LIFE INSURANCE C OPEN ACCESS PLUS,21310,TREATMENT OF NOSE FRACTURE,170,$136.00 ,115.19,90,1376.41
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,21310,TREATMENT OF NOSE FRACTURE,170,$136.00 ,719.65,90,1376.41
MSQ,FIDELIS CARE NEW YORK NEW YORK MEDICAID,21310,TREATMENT OF NOSE FRACTURE,170,$136.00 ,144.25,90,1376.41
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",21310,TREATMENT OF NOSE FRACTURE,170,$136.00 ,144.25,90,1376.41
MSQ,METROPLUS ENHANCED (HARP),21310,TREATMENT OF NOSE FRACTURE,170,$136.00 ,1376.41,90,1376.41
MSQ,METROPLUS HEALTH PLAN,21310,TREATMENT OF NOSE FRACTURE,170,$136.00 ,170,90,1376.41
MSQ,NYSDOH,21310,TREATMENT OF NOSE FRACTURE,170,$136.00 ,144.25,90,1376.41
MSQ,OSCAR INSURANCE CORPORATION,21310,TREATMENT OF NOSE FRACTURE,170,$136.00 ,1256.64,90,1376.41
MSQ,UNITEDHEALTHCARE INSURANCE COMPAN OPT/PPO,21310,TREATMENT OF NOSE FRACTURE,170,$136.00 ,1088,90,1376.41
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,21310,TREATMENT OF NOSE FRACTURE,170,$136.00 ,261.25,90,1376.41
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE PLAN 1,21310,TREATMENT OF NOSE FRACTURE,170,$136.00 ,90,90,1376.41
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS ESSENTIAL PLAN",21315,TREATMENT OF NOSE FRACTURE,1507,"$1,205.60 ",2022.99,2022.99,2022.99
MSQ,OSCAR INSURANCE CORPORATION,21356,Open reduction of depressed fracture of zygomatic arch,Not Applicable,100% of Medicare,4223,4223,4223
MSQ,CIGNA HEALTH AND LIFE INSURANCE C OPEN ACCESS PLUS,21480,CLOSED RED-DISL OF JAW,265,$212.00 ,85.52,85.52,85.52
