Description,"Code 
Type","CPT/HCPCS 
DRG Code","Code
CDM/ERX/SUP",NDC,"Revenue
Code",Quantity,IP XR Aetna,IP XR Anthem,"IP XR
Blue Shield","IP XR
Cigna","IP XR
Health Net","IP XR
Kaiser","IP XR
United",Min,Max
Cardiac defib implant w cardiac cath w AMI/HF/shock,DRG,MS-DRG V37 (FY2020) 223,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,145614.4251,Variable,Variable
Cardiac defib implant w cardiac cath w/o AMI/HF/shock,DRG,MS-DRG V37 (FY2020) 224,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,235486.2488,Variable,Variable
Cardiac defib implant w cardiac cath w/o AMI/HF/shock,DRG,MS-DRG V37 (FY2020) 225,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,172879.7215,Variable,Variable
Cardiac defibrillator implant w/o cardiac cath,DRG,MS-DRG V37 (FY2020) 226,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,262387.8365,Variable,Variable
Cardiac defibrillator implant w/o cardiac cath,DRG,MS-DRG V37 (FY2020) 227,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,101814.4635,Variable,Variable
Other cardiothoracic procedures,DRG,MS-DRG V37 (FY2020) 228,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,223575.8878,Variable,Variable
Other cardiothoracic procedures,DRG,MS-DRG V37 (FY2020) 229,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,102697.967,Variable,Variable
Coronary bypass w PTCA,DRG,MS-DRG V37 (FY2020) 231,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,294995.0207,Variable,Variable
Coronary bypass w PTCA,DRG,MS-DRG V37 (FY2020) 232,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,377636.9738,Variable,Variable
Coronary bypass w cardiac cath,DRG,MS-DRG V37 (FY2020) 233,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,280466.6833,Variable,Variable
Coronary bypass w cardiac cath,DRG,MS-DRG V37 (FY2020) 234,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,228342.994,Variable,Variable
Coronary bypass w/o cardiac cath,DRG,MS-DRG V37 (FY2020) 235,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,191106.6931,Variable,Variable
Coronary bypass w/o cardiac cath,DRG,MS-DRG V37 (FY2020) 236,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,164563.6766,Variable,Variable
Amputation for circ sys disorders exc upper limb & toe,DRG,MS-DRG V37 (FY2020) 239,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,154985.3016,Variable,Variable
Amputation for circ sys disorders exc upper limb & toe,DRG,MS-DRG V37 (FY2020) 240,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,66137.13713,Variable,Variable
Permanent cardiac pacemaker implant,DRG,MS-DRG V37 (FY2020) 242,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,97506.89648,Variable,Variable
Permanent cardiac pacemaker implant,DRG,MS-DRG V37 (FY2020) 243,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,72541.79478,Variable,Variable
Permanent cardiac pacemaker implant,DRG,MS-DRG V37 (FY2020) 244,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,57119.93443,Variable,Variable
AICD generator procedures,DRG,MS-DRG V37 (FY2020) 245,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,375583.4038,Variable,Variable
Perc cardiovasc proc w drug-eluting stent,DRG,MS-DRG V37 (FY2020) 246,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,81861.50645,Variable,Variable
Perc cardiovasc proc w drug-eluting stent,DRG,MS-DRG V37 (FY2020) 247,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,57369.05809,Variable,Variable
Perc cardiovasc proc w non-drug-eluting stent,DRG,MS-DRG V37 (FY2020) 248,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,178984.052,Variable,Variable
Perc cardiovasc proc w non-drug-eluting stent,DRG,MS-DRG V37 (FY2020) 249,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,43523.68112,Variable,Variable
Perc cardiovasc proc w/o coronary artery stent,DRG,MS-DRG V37 (FY2020) 250,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,85477.71836,Variable,Variable
Perc cardiovasc proc w/o coronary artery stent,DRG,MS-DRG V37 (FY2020) 251,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,43698.10404,Variable,Variable
Other vascular procedures,DRG,MS-DRG V37 (FY2020) 252,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,82889.66091,Variable,Variable
Other vascular procedures,DRG,MS-DRG V37 (FY2020) 253,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,61192.62159,Variable,Variable
Other vascular procedures,DRG,MS-DRG V37 (FY2020) 254,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,50613.3418,Variable,Variable
Upper limb & toe amputation for circ system disorders,DRG,MS-DRG V37 (FY2020) 255,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,106283.0375,Variable,Variable
Upper limb & toe amputation for circ system disorders,DRG,MS-DRG V37 (FY2020) 256,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,74787.82267,Variable,Variable
Upper limb & toe amputation for circ system disorders,DRG,MS-DRG V37 (FY2020) 257,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,38104.67084,Variable,Variable
Cardiac pacemaker device replacement,DRG,MS-DRG V37 (FY2020) 258,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,73977.98315,Variable,Variable
Cardiac pacemaker device replacement,DRG,MS-DRG V37 (FY2020) 259,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,63968.24713,Variable,Variable
Cardiac pacemaker revision except device replacement,DRG,MS-DRG V37 (FY2020) 260,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,80065.27679,Variable,Variable
Cardiac pacemaker revision except device replacement,DRG,MS-DRG V37 (FY2020) 261,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,90486.5361,Variable,Variable
Cardiac pacemaker revision except device replacement,DRG,MS-DRG V37 (FY2020) 262,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,64116.92906,Variable,Variable
Vein ligation & stripping,DRG,MS-DRG V37 (FY2020) 263,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,39322.52106,Variable,Variable
Other circulatory system O.R. procedures,DRG,MS-DRG V37 (FY2020) 264,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,123063.9251,Variable,Variable
AICD lead procedures,DRG,MS-DRG V37 (FY2020) 265,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,170193.6517,Variable,Variable
Endovascular cardiac valve replacement,DRG,MS-DRG V37 (FY2020) 266,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,206020.7896,Variable,Variable
Endovascular cardiac valve replacement,DRG,MS-DRG V37 (FY2020) 267,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,127745.0267,Variable,Variable
Aortic and heart assist procedures except pulsation balloon,DRG,MS-DRG V37 (FY2020) 268,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,228362.9864,Variable,Variable
Aortic and heart assist procedures except pulsation balloon,DRG,MS-DRG V37 (FY2020) 269,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,107134.974,Variable,Variable
Other major cardiovascular procedures,DRG,MS-DRG V37 (FY2020) 270,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,220915.4275,Variable,Variable
Other major cardiovascular procedures,DRG,MS-DRG V37 (FY2020) 271,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,106986.3772,Variable,Variable
Other major cardiovascular procedures,DRG,MS-DRG V37 (FY2020) 272,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,95783.74278,Variable,Variable
Percutaneous intracardiac procedures,DRG,MS-DRG V37 (FY2020) 273,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,95602.53451,Variable,Variable
Percutaneous intracardiac procedures,DRG,MS-DRG V37 (FY2020) 274,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,77968.88249,Variable,Variable
"Acute myocardial infarction, discharged alive",DRG,MS-DRG V37 (FY2020) 280,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,116738.68,Variable,Variable
"Acute myocardial infarction, discharged alive",DRG,MS-DRG V37 (FY2020) 281,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,36856.06604,Variable,Variable
"Acute myocardial infarction, discharged alive",DRG,MS-DRG V37 (FY2020) 282,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,20476.36509,Variable,Variable
"Acute myocardial infarction, expired",DRG,MS-DRG V37 (FY2020) 283,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,32837.9402,Variable,Variable
"Circulatory disorders except AMI, w card cath",DRG,MS-DRG V37 (FY2020) 286,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,153441.0119,Variable,Variable
"Circulatory disorders except AMI, w card cath",DRG,MS-DRG V37 (FY2020) 287,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,48745.11162,Variable,Variable
Acute & subacute endocarditis,DRG,MS-DRG V37 (FY2020) 288,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,93670.63655,Variable,Variable
Acute & subacute endocarditis,DRG,MS-DRG V37 (FY2020) 289,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,39515.1801,Variable,Variable
Acute & subacute endocarditis,DRG,MS-DRG V37 (FY2020) 290,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,95559.72569,Variable,Variable
Heart failure & shock,DRG,MS-DRG V37 (FY2020) 291,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,54538.8867,Variable,Variable
Heart failure & shock,DRG,MS-DRG V37 (FY2020) 292,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,26028.0417,Variable,Variable
Heart failure & shock,DRG,MS-DRG V37 (FY2020) 293,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,19976.787,Variable,Variable
"Cardiac arrest, unexplained",DRG,MS-DRG V37 (FY2020) 296,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,77808.20821,Variable,Variable
Peripheral vascular disorders,DRG,MS-DRG V37 (FY2020) 299,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,37784.66078,Variable,Variable
Peripheral vascular disorders,DRG,MS-DRG V37 (FY2020) 300,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,36930.82867,Variable,Variable
Peripheral vascular disorders,DRG,MS-DRG V37 (FY2020) 301,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,48782.06353,Variable,Variable
Atherosclerosis,DRG,MS-DRG V37 (FY2020) 302,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,160570.696,Variable,Variable
Atherosclerosis,DRG,MS-DRG V37 (FY2020) 303,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,24411.96035,Variable,Variable
Hypertension,DRG,MS-DRG V37 (FY2020) 304,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,31331.79389,Variable,Variable
Hypertension,DRG,MS-DRG V37 (FY2020) 305,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,18747.5247,Variable,Variable
Cardiac congenital & valvular disorders,DRG,MS-DRG V37 (FY2020) 306,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,41666.0661,Variable,Variable
Cardiac congenital & valvular disorders,DRG,MS-DRG V37 (FY2020) 307,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,39093.7844,Variable,Variable
Cardiac arrhythmia & conduction disorders,DRG,MS-DRG V37 (FY2020) 308,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,35171.07124,Variable,Variable
Cardiac arrhythmia & conduction disorders,DRG,MS-DRG V37 (FY2020) 309,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,34080.32445,Variable,Variable
Cardiac arrhythmia & conduction disorders,DRG,MS-DRG V37 (FY2020) 310,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,15938.9937,Variable,Variable
Angina pectoris,DRG,MS-DRG V37 (FY2020) 311,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,14235.39141,Variable,Variable
Syncope & collapse,DRG,MS-DRG V37 (FY2020) 312,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,27675.89117,Variable,Variable
Chest pain,DRG,MS-DRG V37 (FY2020) 313,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,16164.08624,Variable,Variable
Other circulatory system diagnoses,DRG,MS-DRG V37 (FY2020) 314,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,79144.18694,Variable,Variable
Other circulatory system diagnoses,DRG,MS-DRG V37 (FY2020) 315,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,38944.11213,Variable,Variable
Other circulatory system diagnoses,DRG,MS-DRG V37 (FY2020) 316,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,14629.1196,Variable,Variable
Other Endovascular Cardiac Valve Procedures W Mcc,DRG,MS-DRG V37 (FY2020) 319,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,169979.832,Variable,Variable
Other Endovascular Cardiac Valve Procedures W/o Mcc,DRG,MS-DRG V37 (FY2020) 320,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,49645.36573,Variable,Variable
"Stomach, esophageal & duodenal proc",DRG,MS-DRG V37 (FY2020) 326,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,176880.3617,Variable,Variable
"Stomach, esophageal & duodenal proc",DRG,MS-DRG V37 (FY2020) 327,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,101004.8483,Variable,Variable
"Stomach, esophageal & duodenal proc",DRG,MS-DRG V37 (FY2020) 328,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,50098.69203,Variable,Variable
Major small & large bowel procedures,DRG,MS-DRG V37 (FY2020) 329,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,155560.2148,Variable,Variable
Major small & large bowel procedures,DRG,MS-DRG V37 (FY2020) 330,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,81950.48195,Variable,Variable
Major small & large bowel procedures,DRG,MS-DRG V37 (FY2020) 331,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,50566.53295,Variable,Variable
Rectal resection,DRG,MS-DRG V37 (FY2020) 332,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,69187.4958,Variable,Variable
Rectal resection,DRG,MS-DRG V37 (FY2020) 333,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,31776.62496,Variable,Variable
Rectal resection,DRG,MS-DRG V37 (FY2020) 334,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,88810.27637,Variable,Variable
Peritoneal adhesiolysis,DRG,MS-DRG V37 (FY2020) 335,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,59985.85849,Variable,Variable
Peritoneal adhesiolysis,DRG,MS-DRG V37 (FY2020) 336,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,83457.37102,Variable,Variable
Peritoneal adhesiolysis,DRG,MS-DRG V37 (FY2020) 337,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,57242.81346,Variable,Variable
Appendectomy w complicated principal diag,DRG,MS-DRG V37 (FY2020) 338,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,59985.85849,Variable,Variable
Appendectomy w complicated principal diag,DRG,MS-DRG V37 (FY2020) 339,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,69779.93337,Variable,Variable
Appendectomy w complicated principal diag,DRG,MS-DRG V37 (FY2020) 340,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,35669.38046,Variable,Variable
Appendectomy w/o complicated principal diag,DRG,MS-DRG V37 (FY2020) 341,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,20908.19027,Variable,Variable
Appendectomy w/o complicated principal diag,DRG,MS-DRG V37 (FY2020) 342,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,29216.92362,Variable,Variable
Appendectomy w/o complicated principal diag,DRG,MS-DRG V37 (FY2020) 343,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,23798.95784,Variable,Variable
Minor small & large bowel procedures,DRG,MS-DRG V37 (FY2020) 344,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,119653.2311,Variable,Variable
Minor small & large bowel procedures,DRG,MS-DRG V37 (FY2020) 345,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,95857.07407,Variable,Variable
Minor small & large bowel procedures,DRG,MS-DRG V37 (FY2020) 346,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,28280.73888,Variable,Variable
Anal & stomal procedures,DRG,MS-DRG V37 (FY2020) 347,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,733297.0843,Variable,Variable
Anal & stomal procedures,DRG,MS-DRG V37 (FY2020) 348,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,44039.7777,Variable,Variable
Anal & stomal procedures,DRG,MS-DRG V37 (FY2020) 349,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,19555.11276,Variable,Variable
Inguinal & femoral hernia procedures,DRG,MS-DRG V37 (FY2020) 350,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,101296.6183,Variable,Variable
Inguinal & femoral hernia procedures,DRG,MS-DRG V37 (FY2020) 351,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,44113.99874,Variable,Variable
Inguinal & femoral hernia procedures,DRG,MS-DRG V37 (FY2020) 352,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,24851.08926,Variable,Variable
Hernia procedures except inguinal & femoral,DRG,MS-DRG V37 (FY2020) 353,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,104649.5015,Variable,Variable
Hernia procedures except inguinal & femoral,DRG,MS-DRG V37 (FY2020) 354,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,59592.47073,Variable,Variable
Hernia procedures except inguinal & femoral,DRG,MS-DRG V37 (FY2020) 355,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,43469.38285,Variable,Variable
Other digestive system O.R. procedures,DRG,MS-DRG V37 (FY2020) 356,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,151551.327,Variable,Variable
Other digestive system O.R. procedures,DRG,MS-DRG V37 (FY2020) 357,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,69136.05249,Variable,Variable
Other digestive system O.R. procedures,DRG,MS-DRG V37 (FY2020) 358,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,44844.17038,Variable,Variable
Major esophageal disorders,DRG,MS-DRG V37 (FY2020) 368,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,55347.33357,Variable,Variable
Major esophageal disorders,DRG,MS-DRG V37 (FY2020) 369,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,38543.19626,Variable,Variable
Major esophageal disorders,DRG,MS-DRG V37 (FY2020) 370,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,14615.4019,Variable,Variable
Major gastrointestinal disorders & peritoneal infections,DRG,MS-DRG V37 (FY2020) 371,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,40486.74614,Variable,Variable
Major gastrointestinal disorders & peritoneal infections,DRG,MS-DRG V37 (FY2020) 372,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,33793.80013,Variable,Variable
Major gastrointestinal disorders & peritoneal infections,DRG,MS-DRG V37 (FY2020) 373,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,31407.20642,Variable,Variable
Digestive malignancy,DRG,MS-DRG V37 (FY2020) 374,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,79791.54173,Variable,Variable
Digestive malignancy,DRG,MS-DRG V37 (FY2020) 375,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,35135.00908,Variable,Variable
Digestive malignancy,DRG,MS-DRG V37 (FY2020) 376,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,52767.23749,Variable,Variable
G.I. hemorrhage,DRG,MS-DRG V37 (FY2020) 377,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,66741.10283,Variable,Variable
G.I. hemorrhage,DRG,MS-DRG V37 (FY2020) 378,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,40231.44061,Variable,Variable
G.I. hemorrhage,DRG,MS-DRG V37 (FY2020) 379,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,15855.06272,Variable,Variable
Complicated peptic ulcer,DRG,MS-DRG V37 (FY2020) 380,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,47612.54635,Variable,Variable
Complicated peptic ulcer,DRG,MS-DRG V37 (FY2020) 381,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,34338.81762,Variable,Variable
Complicated peptic ulcer,DRG,MS-DRG V37 (FY2020) 382,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,8118.062724,Variable,Variable
Uncomplicated peptic ulcer,DRG,MS-DRG V37 (FY2020) 383,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,118925.1562,Variable,Variable
Uncomplicated peptic ulcer,DRG,MS-DRG V37 (FY2020) 384,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,30156.72154,Variable,Variable
Inflammatory bowel disease,DRG,MS-DRG V37 (FY2020) 385,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,61532.59311,Variable,Variable
Inflammatory bowel disease,DRG,MS-DRG V37 (FY2020) 386,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,57313.47548,Variable,Variable
Inflammatory bowel disease,DRG,MS-DRG V37 (FY2020) 387,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,29539.27025,Variable,Variable
G.I. obstruction,DRG,MS-DRG V37 (FY2020) 388,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,30150.77178,Variable,Variable
G.I. obstruction,DRG,MS-DRG V37 (FY2020) 389,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,28813.40039,Variable,Variable
G.I. obstruction,DRG,MS-DRG V37 (FY2020) 390,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,27276.0198,Variable,Variable
"Esophagitis, gastroent & misc digest disorders",DRG,MS-DRG V37 (FY2020) 391,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,41178.12446,Variable,Variable
"Esophagitis, gastroent & misc digest disorders",DRG,MS-DRG V37 (FY2020) 392,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,28450.7672,Variable,Variable
Other digestive system diagnoses,DRG,MS-DRG V37 (FY2020) 393,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,55115.33962,Variable,Variable
Other digestive system diagnoses,DRG,MS-DRG V37 (FY2020) 394,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,36045.69266,Variable,Variable
Other digestive system diagnoses,DRG,MS-DRG V37 (FY2020) 395,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,13176.111,Variable,Variable
"Pancreas, liver & shunt procedures",DRG,MS-DRG V37 (FY2020) 405,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,130763.3929,Variable,Variable
"Pancreas, liver & shunt procedures",DRG,MS-DRG V37 (FY2020) 406,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,98703.90322,Variable,Variable
"Pancreas, liver & shunt procedures",DRG,MS-DRG V37 (FY2020) 407,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,35793.00224,Variable,Variable
Biliary tract proc except only cholecyst w or w/o c.d.e.,DRG,MS-DRG V37 (FY2020) 408,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,134955.2221,Variable,Variable
Biliary tract proc except only cholecyst w or w/o c.d.e.,DRG,MS-DRG V37 (FY2020) 409,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,77450.3178,Variable,Variable
Biliary tract proc except only cholecyst w or w/o c.d.e.,DRG,MS-DRG V37 (FY2020) 410,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,36864.01194,Variable,Variable
Cholecystectomy w c.d.e.,DRG,MS-DRG V37 (FY2020) 411,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,175227.8545,Variable,Variable
Cholecystectomy w c.d.e.,DRG,MS-DRG V37 (FY2020) 412,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,101482.1671,Variable,Variable
Cholecystectomy except by laparoscope w/o c.d.e.,DRG,MS-DRG V37 (FY2020) 414,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,358973.9526,Variable,Variable
Cholecystectomy except by laparoscope w/o c.d.e.,DRG,MS-DRG V37 (FY2020) 415,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,81212.35668,Variable,Variable
Cholecystectomy except by laparoscope w/o c.d.e.,DRG,MS-DRG V37 (FY2020) 416,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,54476.35627,Variable,Variable
Laparoscopic cholecystectomy w/o c.d.e.,DRG,MS-DRG V37 (FY2020) 417,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,51615.08987,Variable,Variable
Laparoscopic cholecystectomy w/o c.d.e.,DRG,MS-DRG V37 (FY2020) 418,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,55663.56023,Variable,Variable
Laparoscopic cholecystectomy w/o c.d.e.,DRG,MS-DRG V37 (FY2020) 419,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,35673.78281,Variable,Variable
Hepatobiliary diagnostic procedures,DRG,MS-DRG V37 (FY2020) 420,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,139887.7763,Variable,Variable
Hepatobiliary diagnostic procedures,DRG,MS-DRG V37 (FY2020) 421,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,57377.97111,Variable,Variable
Hepatobiliary diagnostic procedures,DRG,MS-DRG V37 (FY2020) 422,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,142584.1595,Variable,Variable
Other hepatobiliary or pancreas O.R. procedures,DRG,MS-DRG V37 (FY2020) 423,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,262673.0224,Variable,Variable
Other hepatobiliary or pancreas O.R. procedures,DRG,MS-DRG V37 (FY2020) 424,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,33085.70989,Variable,Variable
Other hepatobiliary or pancreas O.R. procedures,DRG,MS-DRG V37 (FY2020) 425,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,43235.80282,Variable,Variable
Cirrhosis & alcoholic hepatitis,DRG,MS-DRG V37 (FY2020) 432,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,119928.2583,Variable,Variable
Cirrhosis & alcoholic hepatitis,DRG,MS-DRG V37 (FY2020) 433,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,34431.94789,Variable,Variable
Cirrhosis & alcoholic hepatitis,DRG,MS-DRG V37 (FY2020) 434,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,7454.5995,Variable,Variable
Malignancy of hepatobiliary system or pancreas,DRG,MS-DRG V37 (FY2020) 435,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,98456.96139,Variable,Variable
Malignancy of hepatobiliary system or pancreas,DRG,MS-DRG V37 (FY2020) 436,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,25940.23449,Variable,Variable
Malignancy of hepatobiliary system or pancreas,DRG,MS-DRG V37 (FY2020) 437,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,53690.01401,Variable,Variable
Disorders of pancreas except malignancy,DRG,MS-DRG V37 (FY2020) 438,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,84117.54602,Variable,Variable
