US News Ranking,Hospital Name,Billing Code Type,DRG Number,DRG Description,Payor,Plan,Charge Amount
7,New York-Presbyterian Hospital,MSDRG,515,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH MCC,Other,Empire Medicare,27230.991
7,New York-Presbyterian Hospital,MSDRG,516,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH CC,Other,Empire Medicare,17237.358
7,New York-Presbyterian Hospital,MSDRG,517,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITHOUT CC/MCC,Other,Empire Medicare,12446.727
7,New York-Presbyterian Hospital,MSDRG,518,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH MCC OR DISC DEVICE OR NEUROSTIMULATOR,Other,Empire Medicare,31017.8465
7,New York-Presbyterian Hospital,MSDRG,519,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC,Other,Empire Medicare,17213.6
7,New York-Presbyterian Hospital,MSDRG,520,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITHOUT CC/MCC,Other,Empire Medicare,12617.2755
7,New York-Presbyterian Hospital,MSDRG,521,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITH MCC,Other,Empire Medicare,26599.707
7,New York-Presbyterian Hospital,MSDRG,522,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITHOUT MCC,Other,Empire Medicare,19160.059
7,New York-Presbyterian Hospital,MSDRG,533,FRACTURES OF FEMUR WITH MCC,Other,Empire Medicare,12599.457
7,New York-Presbyterian Hospital,MSDRG,534,FRACTURES OF FEMUR WITHOUT MCC,Other,Empire Medicare,7287.847
7,New York-Presbyterian Hospital,MSDRG,535,FRACTURES OF HIP AND PELVIS WITH MCC,Other,Empire Medicare,11043.308
7,New York-Presbyterian Hospital,MSDRG,536,FRACTURES OF HIP AND PELVIS WITHOUT MCC,Other,Empire Medicare,7130.8745
7,New York-Presbyterian Hospital,MSDRG,537,"SPRAINS, STRAINS, AND DISLOCATIONS OF HIP, PELVIS AND THIGH WITH CC/MCC",Other,Empire Medicare,8519.869
7,New York-Presbyterian Hospital,MSDRG,539,OSTEOMYELITIS WITH MCC,Other,Empire Medicare,17109.2345
7,New York-Presbyterian Hospital,MSDRG,540,OSTEOMYELITIS WITH CC,Other,Empire Medicare,11627.076
7,New York-Presbyterian Hospital,MSDRG,541,OSTEOMYELITIS WITHOUT CC/MCC,Other,Empire Medicare,7737.552
7,New York-Presbyterian Hospital,MSDRG,542,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MCC,Other,Empire Medicare,15934.062
7,New York-Presbyterian Hospital,MSDRG,543,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH CC,Other,Empire Medicare,9451.522
7,New York-Presbyterian Hospital,MSDRG,544,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITHOUT CC/MCC,Other,Empire Medicare,7181.7845
7,New York-Presbyterian Hospital,MSDRG,545,CONNECTIVE TISSUE DISORDERS WITH MCC,Other,Empire Medicare,21821.8035
7,New York-Presbyterian Hospital,MSDRG,546,CONNECTIVE TISSUE DISORDERS WITH CC,Other,Empire Medicare,10832.88
7,New York-Presbyterian Hospital,MSDRG,547,CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC,Other,Empire Medicare,7656.096
7,New York-Presbyterian Hospital,MSDRG,548,SEPTIC ARTHRITIS WITH MCC,Other,Empire Medicare,17984.038
7,New York-Presbyterian Hospital,MSDRG,549,SEPTIC ARTHRITIS WITH CC,Other,Empire Medicare,11188.4015
7,New York-Presbyterian Hospital,MSDRG,550,SEPTIC ARTHRITIS WITHOUT CC/MCC,Other,Empire Medicare,8040.4665
7,New York-Presbyterian Hospital,MSDRG,551,MEDICAL BACK PROBLEMS WITH MCC,Other,Empire Medicare,14391.489
7,New York-Presbyterian Hospital,MSDRG,552,MEDICAL BACK PROBLEMS WITHOUT MCC,Other,Empire Medicare,8587.749
7,New York-Presbyterian Hospital,MSDRG,553,BONE DISEASES AND ARTHROPATHIES WITH MCC,Other,Empire Medicare,11371.6775
7,New York-Presbyterian Hospital,MSDRG,554,BONE DISEASES AND ARTHROPATHIES WITHOUT MCC,Other,Empire Medicare,7307.3625
7,New York-Presbyterian Hospital,MSDRG,555,SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC,Other,Empire Medicare,12194.7225
7,New York-Presbyterian Hospital,MSDRG,556,SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT MCC,Other,Empire Medicare,7444.8195
7,New York-Presbyterian Hospital,MSDRG,557,"TENDONITIS, MYOSITIS AND BURSITIS WITH MCC",Other,Empire Medicare,12454.3635
7,New York-Presbyterian Hospital,MSDRG,558,"TENDONITIS, MYOSITIS AND BURSITIS WITHOUT MCC",Other,Empire Medicare,7891.979
7,New York-Presbyterian Hospital,MSDRG,559,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC",Other,Empire Medicare,16410.0705
7,New York-Presbyterian Hospital,MSDRG,560,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC",Other,Empire Medicare,9712.86
7,New York-Presbyterian Hospital,MSDRG,561,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC",Other,Empire Medicare,7306.514
7,New York-Presbyterian Hospital,MSDRG,562,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC",Other,Empire Medicare,12562.123
7,New York-Presbyterian Hospital,MSDRG,563,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITHOUT MCC",Other,Empire Medicare,7983.617
7,New York-Presbyterian Hospital,MSDRG,564,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH MCC,Other,Empire Medicare,13510.746
7,New York-Presbyterian Hospital,MSDRG,565,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH CC,Other,Empire Medicare,9146.9105
7,New York-Presbyterian Hospital,MSDRG,566,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITHOUT CC/MCC,Other,Empire Medicare,6962.8715
7,New York-Presbyterian Hospital,MSDRG,570,SKIN DEBRIDEMENT WITH MCC,Other,Empire Medicare,24694.8245
7,New York-Presbyterian Hospital,MSDRG,571,SKIN DEBRIDEMENT WITH CC,Other,Empire Medicare,14459.369
7,New York-Presbyterian Hospital,MSDRG,572,SKIN DEBRIDEMENT WITHOUT CC/MCC,Other,Empire Medicare,9953.834
7,New York-Presbyterian Hospital,MSDRG,573,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH MCC,Other,Empire Medicare,47582.2635
7,New York-Presbyterian Hospital,MSDRG,574,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH CC,Other,Empire Medicare,28129.5525
7,New York-Presbyterian Hospital,MSDRG,575,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC,Other,Empire Medicare,15543.752
7,New York-Presbyterian Hospital,MSDRG,576,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH MCC,Other,Empire Medicare,43548.4945
7,New York-Presbyterian Hospital,MSDRG,577,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH CC,Other,Empire Medicare,22216.356
7,New York-Presbyterian Hospital,MSDRG,578,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC,Other,Empire Medicare,14118.272
7,New York-Presbyterian Hospital,MSDRG,579,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH MCC",Other,Empire Medicare,27267.4765
7,New York-Presbyterian Hospital,MSDRG,580,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH CC",Other,Empire Medicare,15251.868
7,New York-Presbyterian Hospital,MSDRG,581,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITHOUT CC/MCC",Other,Empire Medicare,12265.148
7,New York-Presbyterian Hospital,MSDRG,582,MASTECTOMY FOR MALIGNANCY WITH CC/MCC,Other,Empire Medicare,14524.7035
7,New York-Presbyterian Hospital,MSDRG,583,MASTECTOMY FOR MALIGNANCY WITHOUT CC/MCC,Other,Empire Medicare,13662.6275
7,New York-Presbyterian Hospital,MSDRG,584,"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITH CC/MCC",Other,Empire Medicare,16167.3995
7,New York-Presbyterian Hospital,MSDRG,585,"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITHOUT CC/MCC",Other,Empire Medicare,15343.506
7,New York-Presbyterian Hospital,MSDRG,592,SKIN ULCERS WITH MCC,Other,Empire Medicare,14959.1355
7,New York-Presbyterian Hospital,MSDRG,593,SKIN ULCERS WITH CC,Other,Empire Medicare,10260.991
7,New York-Presbyterian Hospital,MSDRG,594,SKIN ULCERS WITHOUT CC/MCC,Other,Empire Medicare,7506.76
7,New York-Presbyterian Hospital,MSDRG,595,MAJOR SKIN DISORDERS WITH MCC,Other,Empire Medicare,17693.0025
7,New York-Presbyterian Hospital,MSDRG,596,MAJOR SKIN DISORDERS WITHOUT MCC,Other,Empire Medicare,9023.0295
7,New York-Presbyterian Hospital,MSDRG,597,MALIGNANT BREAST DISORDERS WITH MCC,Other,Empire Medicare,14532.34
7,New York-Presbyterian Hospital,MSDRG,598,MALIGNANT BREAST DISORDERS WITH CC,Other,Empire Medicare,10025.9565
7,New York-Presbyterian Hospital,MSDRG,600,NON-MALIGNANT BREAST DISORDERS WITH CC/MCC,Other,Empire Medicare,9041.6965
7,New York-Presbyterian Hospital,MSDRG,601,NON-MALIGNANT BREAST DISORDERS WITHOUT CC/MCC,Other,Empire Medicare,6410.498
7,New York-Presbyterian Hospital,MSDRG,602,CELLULITIS WITH MCC,Other,Empire Medicare,12886.25
7,New York-Presbyterian Hospital,MSDRG,603,CELLULITIS WITHOUT MCC,Other,Empire Medicare,7825.796
7,New York-Presbyterian Hospital,MSDRG,604,"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITH MCC",Other,Empire Medicare,13122.9815
7,New York-Presbyterian Hospital,MSDRG,605,"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITHOUT MCC",Other,Empire Medicare,8252.5915
7,New York-Presbyterian Hospital,MSDRG,606,MINOR SKIN DISORDERS WITH MCC,Other,Empire Medicare,13413.1685
7,New York-Presbyterian Hospital,MSDRG,607,MINOR SKIN DISORDERS WITHOUT MCC,Other,Empire Medicare,7610.277
7,New York-Presbyterian Hospital,MSDRG,614,ADRENAL AND PITUITARY PROCEDURES WITH CC/MCC,Other,Empire Medicare,20859.6045
7,New York-Presbyterian Hospital,MSDRG,615,ADRENAL AND PITUITARY PROCEDURES WITHOUT CC/MCC,Other,Empire Medicare,13946.875
7,New York-Presbyterian Hospital,MSDRG,616,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC",Other,Empire Medicare,34236.207
7,New York-Presbyterian Hospital,MSDRG,617,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC",Other,Empire Medicare,17805.853
7,New York-Presbyterian Hospital,MSDRG,618,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITHOUT CC/MCC",Other,Empire Medicare,11640.652
7,New York-Presbyterian Hospital,MSDRG,619,O.R. PROCEDURES FOR OBESITY WITH MCC,Other,Empire Medicare,26561.5245
7,New York-Presbyterian Hospital,MSDRG,620,O.R. PROCEDURES FOR OBESITY WITH CC,Other,Empire Medicare,15539.5095
7,New York-Presbyterian Hospital,MSDRG,621,O.R. PROCEDURES FOR OBESITY WITHOUT CC/MCC,Other,Empire Medicare,14134.3935
7,New York-Presbyterian Hospital,MSDRG,622,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC",Other,Empire Medicare,31255.4265
7,New York-Presbyterian Hospital,MSDRG,623,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC",Other,Empire Medicare,16462.6775
7,New York-Presbyterian Hospital,MSDRG,624,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITHOUT CC/MCC",Other,Empire Medicare,9907.1665
7,New York-Presbyterian Hospital,MSDRG,625,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH MCC",Other,Empire Medicare,24682.097
7,New York-Presbyterian Hospital,MSDRG,626,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH CC",Other,Empire Medicare,14607.8565
7,New York-Presbyterian Hospital,MSDRG,627,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITHOUT CC/MCC",Other,Empire Medicare,10619.058
7,New York-Presbyterian Hospital,MSDRG,628,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH MCC",Other,Empire Medicare,31802.709
7,New York-Presbyterian Hospital,MSDRG,629,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH CC",Other,Empire Medicare,20482.8705
7,New York-Presbyterian Hospital,MSDRG,630,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITHOUT CC/MCC",Other,Empire Medicare,12540.9105
7,New York-Presbyterian Hospital,MSDRG,637,DIABETES WITH MCC,Other,Empire Medicare,12263.451
7,New York-Presbyterian Hospital,MSDRG,638,DIABETES WITH CC,Other,Empire Medicare,8044.709
7,New York-Presbyterian Hospital,MSDRG,639,DIABETES WITHOUT CC/MCC,Other,Empire Medicare,5755.456
7,New York-Presbyterian Hospital,MSDRG,640,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",Other,Empire Medicare,11026.338
7,New York-Presbyterian Hospital,MSDRG,641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",Other,Empire Medicare,6982.387
7,New York-Presbyterian Hospital,MSDRG,642,INBORN AND OTHER DISORDERS OF METABOLISM,Other,Empire Medicare,11526.953
7,New York-Presbyterian Hospital,MSDRG,643,ENDOCRINE DISORDERS WITH MCC,Other,Empire Medicare,14733.4345
7,New York-Presbyterian Hospital,MSDRG,644,ENDOCRINE DISORDERS WITH CC,Other,Empire Medicare,9236.003
7,New York-Presbyterian Hospital,MSDRG,645,ENDOCRINE DISORDERS WITHOUT CC/MCC,Other,Empire Medicare,7104.571
7,New York-Presbyterian Hospital,MSDRG,650,KIDNEY TRANSPLANT WITH HEMODIALYSIS WITH MCC,Other,Empire Medicare,38941.1395
7,New York-Presbyterian Hospital,MSDRG,651,KIDNEY TRANSPLANT WITH HEMODIALYSIS WITHOUT MCC,Other,Empire Medicare,31963.924
7,New York-Presbyterian Hospital,MSDRG,652,KIDNEY TRANSPLANT,Other,Empire Medicare,27608.5735
7,New York-Presbyterian Hospital,MSDRG,653,MAJOR BLADDER PROCEDURES WITH MCC,Other,Empire Medicare,46904.312
7,New York-Presbyterian Hospital,MSDRG,654,MAJOR BLADDER PROCEDURES WITH CC,Other,Empire Medicare,25213.258
7,New York-Presbyterian Hospital,MSDRG,655,MAJOR BLADDER PROCEDURES WITHOUT CC/MCC,Other,Empire Medicare,18234.3455
7,New York-Presbyterian Hospital,MSDRG,656,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH MCC,Other,Empire Medicare,28456.225
7,New York-Presbyterian Hospital,MSDRG,657,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH CC,Other,Empire Medicare,16998.9295
7,New York-Presbyterian Hospital,MSDRG,658,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITHOUT CC/MCC,Other,Empire Medicare,13971.4815
7,New York-Presbyterian Hospital,MSDRG,659,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH MCC,Other,Empire Medicare,23207.404
7,New York-Presbyterian Hospital,MSDRG,660,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH CC,Other,Empire Medicare,12827.7035
7,New York-Presbyterian Hospital,MSDRG,661,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITHOUT CC/MCC,Other,Empire Medicare,9608.4945
7,New York-Presbyterian Hospital,MSDRG,662,MINOR BLADDER PROCEDURES WITH MCC,Other,Empire Medicare,25505.9905
7,New York-Presbyterian Hospital,MSDRG,663,MINOR BLADDER PROCEDURES WITH CC,Other,Empire Medicare,14154.7575
7,New York-Presbyterian Hospital,MSDRG,664,MINOR BLADDER PROCEDURES WITHOUT CC/MCC,Other,Empire Medicare,10627.543
7,New York-Presbyterian Hospital,MSDRG,665,PROSTATECTOMY WITH MCC,Other,Empire Medicare,26391.8245
7,New York-Presbyterian Hospital,MSDRG,666,PROSTATECTOMY WITH CC,Other,Empire Medicare,15344.3545
7,New York-Presbyterian Hospital,MSDRG,667,PROSTATECTOMY WITHOUT CC/MCC,Other,Empire Medicare,9046.7875
7,New York-Presbyterian Hospital,MSDRG,668,TRANSURETHRAL PROCEDURES WITH MCC,Other,Empire Medicare,24394.4555
7,New York-Presbyterian Hospital,MSDRG,669,TRANSURETHRAL PROCEDURES WITH CC,Other,Empire Medicare,13849.2975
7,New York-Presbyterian Hospital,MSDRG,670,TRANSURETHRAL PROCEDURES WITHOUT CC/MCC,Other,Empire Medicare,8885.5725
7,New York-Presbyterian Hospital,MSDRG,671,URETHRAL PROCEDURES WITH CC/MCC,Other,Empire Medicare,15697.3305
7,New York-Presbyterian Hospital,MSDRG,672,URETHRAL PROCEDURES WITHOUT CC/MCC,Other,Empire Medicare,10344.144
7,New York-Presbyterian Hospital,MSDRG,673,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH MCC,Other,Empire Medicare,30011.5255
7,New York-Presbyterian Hospital,MSDRG,674,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH CC,Other,Empire Medicare,20804.452
7,New York-Presbyterian Hospital,MSDRG,675,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITHOUT CC/MCC,Other,Empire Medicare,15471.6295
7,New York-Presbyterian Hospital,MSDRG,682,RENAL FAILURE WITH MCC,Other,Empire Medicare,13078.8595
7,New York-Presbyterian Hospital,MSDRG,683,RENAL FAILURE WITH CC,Other,Empire Medicare,8043.8605
7,New York-Presbyterian Hospital,MSDRG,684,RENAL FAILURE WITHOUT CC/MCC,Other,Empire Medicare,5741.0315
7,New York-Presbyterian Hospital,MSDRG,686,KIDNEY AND URINARY TRACT NEOPLASMS WITH MCC,Other,Empire Medicare,16494.9205
7,New York-Presbyterian Hospital,MSDRG,687,KIDNEY AND URINARY TRACT NEOPLASMS WITH CC,Other,Empire Medicare,9493.0985
7,New York-Presbyterian Hospital,MSDRG,688,KIDNEY AND URINARY TRACT NEOPLASMS WITHOUT CC/MCC,Other,Empire Medicare,6402.013
7,New York-Presbyterian Hospital,MSDRG,689,KIDNEY AND URINARY TRACT INFECTIONS WITH MCC,Other,Empire Medicare,10036.987
7,New York-Presbyterian Hospital,MSDRG,690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,Other,Empire Medicare,7320.09
7,New York-Presbyterian Hospital,MSDRG,693,URINARY STONES WITH MCC,Other,Empire Medicare,11914.7175
7,New York-Presbyterian Hospital,MSDRG,694,URINARY STONES WITHOUT MCC,Other,Empire Medicare,7126.632
7,New York-Presbyterian Hospital,MSDRG,695,KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITH MCC,Other,Empire Medicare,10236.3845
7,New York-Presbyterian Hospital,MSDRG,696,KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITHOUT MCC,Other,Empire Medicare,6453.7715
7,New York-Presbyterian Hospital,MSDRG,697,URETHRAL STRICTURE,Other,Empire Medicare,9062.0605
7,New York-Presbyterian Hospital,MSDRG,698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,Other,Empire Medicare,14248.941
7,New York-Presbyterian Hospital,MSDRG,699,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC,Other,Empire Medicare,9297.095
7,New York-Presbyterian Hospital,MSDRG,700,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITHOUT CC/MCC,Other,Empire Medicare,6917.0525
7,New York-Presbyterian Hospital,MSDRG,707,MAJOR MALE PELVIC PROCEDURES WITH CC/MCC,Other,Empire Medicare,16892.867
7,New York-Presbyterian Hospital,MSDRG,708,MAJOR MALE PELVIC PROCEDURES WITHOUT CC/MCC,Other,Empire Medicare,13235.832
7,New York-Presbyterian Hospital,MSDRG,709,PENIS PROCEDURES WITH CC/MCC,Other,Empire Medicare,20233.4115
7,New York-Presbyterian Hospital,MSDRG,710,PENIS PROCEDURES WITHOUT CC/MCC,Other,Empire Medicare,14172.576
7,New York-Presbyterian Hospital,MSDRG,711,TESTES PROCEDURES WITH CC/MCC,Other,Empire Medicare,18669.626
7,New York-Presbyterian Hospital,MSDRG,712,TESTES PROCEDURES WITHOUT CC/MCC,Other,Empire Medicare,9577.1
7,New York-Presbyterian Hospital,MSDRG,713,TRANSURETHRAL PROSTATECTOMY WITH CC/MCC,Other,Empire Medicare,13254.499
7,New York-Presbyterian Hospital,MSDRG,714,TRANSURETHRAL PROSTATECTOMY WITHOUT CC/MCC,Other,Empire Medicare,8463.868
7,New York-Presbyterian Hospital,MSDRG,715,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITH CC/MCC,Other,Empire Medicare,17736.276
7,New York-Presbyterian Hospital,MSDRG,716,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITHOUT CC/MCC,Other,Empire Medicare,11408.163
7,New York-Presbyterian Hospital,MSDRG,717,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITH CC/MCC,Other,Empire Medicare,15861.091
7,New York-Presbyterian Hospital,MSDRG,718,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITHOUT CC/MCC,Other,Empire Medicare,11058.581
7,New York-Presbyterian Hospital,MSDRG,722,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH MCC",Other,Empire Medicare,15114.411
7,New York-Presbyterian Hospital,MSDRG,723,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH CC",Other,Empire Medicare,9847.7715
7,New York-Presbyterian Hospital,MSDRG,724,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC",Other,Empire Medicare,6082.1285
7,New York-Presbyterian Hospital,MSDRG,725,BENIGN PROSTATIC HYPERTROPHY WITH MCC,Other,Empire Medicare,11490.4675
7,New York-Presbyterian Hospital,MSDRG,726,BENIGN PROSTATIC HYPERTROPHY WITHOUT MCC,Other,Empire Medicare,6901.7795
7,New York-Presbyterian Hospital,MSDRG,727,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITH MCC,Other,Empire Medicare,12640.185
7,New York-Presbyterian Hospital,MSDRG,728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITHOUT MCC,Other,Empire Medicare,7419.3645
7,New York-Presbyterian Hospital,MSDRG,729,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITH CC/MCC,Other,Empire Medicare,9131.6375
7,New York-Presbyterian Hospital,MSDRG,730,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC,Other,Empire Medicare,5410.1165
7,New York-Presbyterian Hospital,MSDRG,734,"PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITH CC/MCC",Other,Empire Medicare,19456.1855
7,New York-Presbyterian Hospital,MSDRG,735,"PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITHOUT CC/MCC",Other,Empire Medicare,12577.396
7,New York-Presbyterian Hospital,MSDRG,736,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH MCC,Other,Empire Medicare,36735.0395
7,New York-Presbyterian Hospital,MSDRG,737,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH CC,Other,Empire Medicare,18045.9785
7,New York-Presbyterian Hospital,MSDRG,738,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITHOUT CC/MCC,Other,Empire Medicare,13106.0115
7,New York-Presbyterian Hospital,MSDRG,739,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH MCC,Other,Empire Medicare,33029.64
7,New York-Presbyterian Hospital,MSDRG,740,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH CC,Other,Empire Medicare,15869.576
7,New York-Presbyterian Hospital,MSDRG,741,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITHOUT CC/MCC,Other,Empire Medicare,11442.9515
7,New York-Presbyterian Hospital,MSDRG,742,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITH CC/MCC,Other,Empire Medicare,15161.0785
7,New York-Presbyterian Hospital,MSDRG,743,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITHOUT CC/MCC,Other,Empire Medicare,10194.808
7,New York-Presbyterian Hospital,MSDRG,744,"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC",Other,Empire Medicare,15816.969
7,New York-Presbyterian Hospital,MSDRG,745,"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITHOUT CC/MCC",Other,Empire Medicare,10510.45
7,New York-Presbyterian Hospital,MSDRG,746,"VAGINA, CERVIX AND VULVA PROCEDURES WITH CC/MCC",Other,Empire Medicare,14256.5775
7,New York-Presbyterian Hospital,MSDRG,747,"VAGINA, CERVIX AND VULVA PROCEDURES WITHOUT CC/MCC",Other,Empire Medicare,8551.2635
7,New York-Presbyterian Hospital,MSDRG,748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES,Other,Empire Medicare,12017.386
7,New York-Presbyterian Hospital,MSDRG,749,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITH CC/MCC,Other,Empire Medicare,23609.593
7,New York-Presbyterian Hospital,MSDRG,750,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,Other,Empire Medicare,13003.343
7,New York-Presbyterian Hospital,MSDRG,754,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH MCC",Other,Empire Medicare,16078.307
